date,village_id,population_density,proximity_to_river,reported_cases,turbidity_ntu,ph_level,rainfall_mm,e_coli_present
2024-01-01,Village_A,806,2.2,2,3.0951746063955903,7.57,5.3,0
2024-01-02,Village_A,806,2.2,1,4.118641902171721,6.93,4.74,0
2024-01-03,Village_A,806,2.2,2,5.6398969446245495,7.66,4.75,0
2024-01-04,Village_A,806,2.2,0,1.6129141084501795,6.95,3.47,0
2024-01-05,Village_A,806,2.2,2,2.811489692292751,7.36,4.21,0
2024-01-06,Village_A,806,2.2,2,4.813540124757784,7.09,0.43,0
2024-01-07,Village_A,806,2.2,2,1.5872041488140447,6.81,3.78,0
2024-01-08,Village_A,806,2.2,0,1.6564015200151614,7.0,15.2,0
2024-01-09,Village_A,806,2.2,2,3.807790118233985,7.31,4.42,0
2024-01-10,Village_A,806,2.2,2,3.693907222422369,6.81,1.8,0
2024-01-11,Village_A,806,2.2,19,13.067436126910332,6.82,9.83,1
2024-01-12,Village_A,806,2.2,2,2.3032424836697305,6.93,1.05,0
2024-01-13,Village_A,806,2.2,26,15.792892333960467,7.11,1.16,1
2024-01-14,Village_A,806,2.2,29,12.01144306867453,7.45,3.1,1
2024-01-15,Village_A,806,2.2,1,3.0350793867705925,7.74,5.61,0
2024-01-16,Village_A,806,2.2,0,3.663829064135735,7.35,1.77,0
2024-01-17,Village_A,806,2.2,2,3.2277123168400994,6.95,0.29,0
2024-01-18,Village_A,806,2.2,0,3.9128830838551263,6.96,1.46,0
2024-01-19,Village_A,806,2.2,20,10.818578232419842,6.96,0.94,1
2024-01-20,Village_A,806,2.2,2,3.097677926970099,7.5,3.93,0
2024-01-21,Village_A,806,2.2,0,0.23665967772380103,7.76,7.63,0
2024-01-22,Village_A,806,2.2,0,4.490049037473103,7.19,6.49,0
2024-01-23,Village_A,806,2.2,2,1.9659479940536468,7.04,6.5,0
2024-01-24,Village_A,806,2.2,2,1.2656639317662308,6.87,12.18,0
2024-01-25,Village_A,806,2.2,2,2.688813504591365,6.8,2.55,0
2024-01-26,Village_A,806,2.2,2,1.3998324433219254,7.33,3.73,0
2024-01-27,Village_A,806,2.2,1,4.343097368569323,7.3,0.24,0
2024-01-28,Village_A,806,2.2,0,5.422249578780895,7.5,3.19,0
2024-01-29,Village_A,806,2.2,2,4.892064178312666,6.81,1.03,0
2024-01-30,Village_A,806,2.2,2,3.434146554052639,7.49,9.53,0
2024-01-31,Village_A,806,2.2,0,0.39080135110241865,7.18,0.37,0
2024-02-01,Village_A,806,2.2,2,3.3684594231885825,7.11,5.64,0
2024-02-02,Village_A,806,2.2,0,1.8459516859853775,7.26,3.88,0
2024-02-03,Village_A,806,2.2,1,0.8874642459130818,7.64,0.48,0
2024-02-04,Village_A,806,2.2,29,15.144287005692181,6.8,13.15,1
2024-02-05,Village_A,806,2.2,0,3.615556548674761,7.58,3.87,0
2024-02-06,Village_A,806,2.2,1,1.3912251686511818,7.27,0.2,0
2024-02-07,Village_A,806,2.2,0,4.952857689143795,6.84,2.65,0
2024-02-08,Village_A,806,2.2,1,4.392289957804598,7.69,1.56,0
2024-02-09,Village_A,806,2.2,2,4.2038505431855855,6.87,1.15,0
2024-02-10,Village_A,806,2.2,2,3.388938598884346,7.14,3.14,0
2024-02-11,Village_A,806,2.2,17,13.145062821438623,6.82,5.21,1
2024-02-12,Village_A,806,2.2,2,1.0137141370466487,7.48,10.01,0
2024-02-13,Village_A,806,2.2,2,2.7394696970668524,7.14,0.82,0
2024-02-14,Village_A,806,2.2,1,1.0936754186993916,7.02,1.02,0
2024-02-15,Village_A,806,2.2,2,2.7558323498608086,6.94,6.6,0
2024-02-16,Village_A,806,2.2,2,3.028465633245399,7.65,7.82,0
2024-02-17,Village_A,806,2.2,1,1.0880185884616007,7.34,4.1,0
2024-02-18,Village_A,806,2.2,1,3.053885390467796,7.0,2.71,0
2024-02-19,Village_A,806,2.2,1,2.3038972040545733,6.82,4.99,0
2024-02-20,Village_A,806,2.2,0,1.796962667213816,7.25,7.57,0
2024-02-21,Village_A,806,2.2,0,4.5918098456838266,7.5,4.99,0
2024-02-22,Village_A,806,2.2,1,2.6250071157102783,7.62,2.1,0
2024-02-23,Village_A,806,2.2,0,4.201741401349227,7.76,2.67,0
2024-02-24,Village_A,806,2.2,1,4.952667908128502,6.83,2.91,0
2024-02-25,Village_A,806,2.2,1,1.552761068674391,6.95,2.67,0
2024-02-26,Village_A,806,2.2,0,1.8434181838362287,7.74,0.8,0
2024-02-27,Village_A,806,2.2,2,4.436178809141354,7.3,0.18,0
2024-02-28,Village_A,806,2.2,1,1.6678218338646624,6.85,1.31,0
2024-02-29,Village_A,806,2.2,1,3.399692530396721,7.36,1.99,0
2024-03-01,Village_A,806,2.2,1,3.659180626886779,7.19,11.39,0
2024-03-02,Village_A,806,2.2,1,3.160901460197601,7.25,4.09,0
2024-03-03,Village_A,806,2.2,1,2.7106496456506606,7.1,2.83,0
2024-03-04,Village_A,806,2.2,0,2.4953715510987986,7.1,1.36,0
2024-03-05,Village_A,806,2.2,1,4.051904994977409,6.8,2.63,0
2024-03-06,Village_A,806,2.2,25,12.369380305451841,7.05,3.89,1
2024-03-07,Village_A,806,2.2,0,4.153147314693561,6.91,4.15,0
2024-03-08,Village_A,806,2.2,0,1.631676824824862,6.89,4.16,0
2024-03-09,Village_A,806,2.2,2,2.55317928012852,7.61,9.27,0
2024-03-10,Village_A,806,2.2,1,5.392778737915373,7.76,7.73,0
2024-03-11,Village_A,806,2.2,0,5.658282851789427,7.12,0.4,0
2024-03-12,Village_A,806,2.2,2,1.3569615108897013,7.23,5.55,0
2024-03-13,Village_A,806,2.2,2,1.8273304510585318,7.18,2.49,0
2024-03-14,Village_A,806,2.2,1,1.2359492689201572,7.6,1.52,0
2024-03-15,Village_A,806,2.2,0,4.121544211696792,6.94,1.64,0
2024-03-16,Village_A,806,2.2,1,0.9369309331610641,7.69,3.65,0
2024-03-17,Village_A,806,2.2,2,0.7731051347168875,7.77,2.96,0
2024-03-18,Village_A,806,2.2,0,4.5607434328412575,6.94,2.41,0
2024-03-19,Village_A,806,2.2,0,4.058852531041589,7.3,6.04,0
2024-03-20,Village_A,806,2.2,2,5.761314642124284,7.43,7.02,0
2024-03-21,Village_A,806,2.2,0,3.457683243321495,7.1,1.69,0
2024-03-22,Village_A,806,2.2,0,3.759250650172185,7.5,5.37,0
2024-03-23,Village_A,806,2.2,1,1.265835198444624,7.1,2.11,0
2024-03-24,Village_A,806,2.2,1,4.7515643278888975,6.8,4.53,0
2024-03-25,Village_A,806,2.2,0,4.772368007192044,7.44,1.87,0
2024-03-26,Village_A,806,2.2,2,6.322547832214315,6.96,8.57,0
2024-03-27,Village_A,806,2.2,25,17.27666742612286,7.62,6.82,1
2024-03-28,Village_A,806,2.2,0,2.6012824151907212,7.32,3.44,0
2024-03-29,Village_A,806,2.2,0,3.95991237862313,7.49,2.05,0
2024-03-30,Village_A,806,2.2,1,3.245826531657902,7.76,6.51,0
2024-03-31,Village_A,806,2.2,0,1.6124836722567242,7.01,3.91,0
2024-04-01,Village_A,806,2.2,2,3.4858447511132784,7.0,8.74,0
2024-04-02,Village_A,806,2.2,1,2.3754438996902985,7.56,4.48,0
2024-04-03,Village_A,806,2.2,27,7.627395748694243,7.45,1.71,1
2024-04-04,Village_A,806,2.2,0,3.1278575020570867,7.79,1.55,0
2024-04-05,Village_A,806,2.2,2,3.5627055797208644,7.36,1.64,0
2024-04-06,Village_A,806,2.2,2,3.085299936291677,6.81,6.15,0
2024-04-07,Village_A,806,2.2,0,3.2197881039608407,7.37,2.95,0
